,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
876,Vitinho,br BRA,MFFW,Internacional,25,1999,27,1679,62,49.1,18.7,20,74,5,7,28,3,1.22,17,29,-12,-0.64,-0.59,Matches,06d4b2e4
877,Kauan Vitor,br BRA,FW,Vitória,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,705fa555
878,Zé Vitor,br BRA,MF,Mirassol,24,2000,2,25,13,0.7,0.3,0,,0,2,13,0,3.00,1,0,+1,+3.60,+2.99,Matches,11283939
879,Tiago Volpi,br BRA,GK,Grêmio,34,1990,32,2880,90,84.2,32.0,32,90,32,0,,0,1.22,37,43,-6,-0.19,-0.69,Matches,fba79ac8
880,Wagner,br BRA,DF,Grêmio,25,1999,29,2369,82,69.3,26.3,26,88,25,3,30,8,1.31,32,33,-1,-0.04,+0.13,Matches,25b28b59
881,Walace,br BRA,MF,Cruzeiro,29,1995,17,384,23,11.2,4.3,4,72,0,13,8,18,1.94,5,7,-2,-0.47,-1.24,Matches,26db8853
882,Wallace,br BRA,DF,Fluminense,17,2007,0,,,,,0,,0,0,,3,,,,,,,Matches,0249917e
883,Wallace,br BRA,FW,Flamengo,19,2005,17,443,26,13.0,4.9,4,62,1,13,15,12,2.00,10,7,+3,+0.61,-0.84,Matches,b83bc030
884,Wallysson,br BRA,FW,Atlético Mineiro,16,2008,0,,,,,0,,0,0,,1,,,,,,,Matches,dc3e5f0e
885,Walter,br BRA,GK,Mirassol,37,1987,31,2790,90,81.6,31.0,31,90,31,0,,5,1.84,49,29,+20,+0.65,+0.07,Matches,8bae322b
886,Wanderson,br BRA,MF,Cruzeiro,30,1994,27,1792,66,52.4,19.9,25,70,2,2,21,0,1.93,31,15,+16,+0.80,+0.36,Matches,5da33b33
887,Deivid Washington,br BRA,FW,Santos,19,2005,17,557,33,16.3,6.2,5,66,0,12,19,3,0.76,4,8,-4,-0.65,-0.61,Matches,95bd120d
888,José Welison,br BRA,MF,Fortaleza,29,1995,9,437,49,12.8,4.9,4,85,3,5,19,6,0.78,3,12,-9,-1.85,-1.67,Matches,b6cb4d16
889,João Wellington,br BRA,MF,Cruzeiro,21,2004,5,139,28,4.1,1.5,1,64,0,4,19,18,1.60,2,4,-2,-1.29,-2.01,Matches,62e02b9b
890,Wendell,br BRA,MF,Vitória,19,2005,1,66,66,1.9,0.7,1,66,0,0,,2,0.00,0,7,-7,-9.55,-9.28,Matches,ad5524cf
891,Wendell,br BRA,MFDF,São Paulo,31,1993,16,838,52,24.5,9.3,11,64,2,5,27,8,1.25,8,5,+3,+0.32,+0.57,Matches,f9acca3a
892,Gabriel Werneck,br BRA,GK,Flamengo,15,2009,0,,,,,0,,0,0,,1,,,,,,,Matches,d1455501
893,Wesley,br BRA,DF,Flamengo,21,2003,11,982,89,28.7,10.9,11,89,10,0,,3,1.91,20,5,+15,+1.37,+0.05,Matches,f2c49c79
894,Wesley,br BRA,MFFW,Internacional,25,1999,18,1233,69,36.1,13.7,16,75,4,2,15,0,1.28,19,17,+2,+0.15,+0.76,Matches,434de3a3
895,Weverson,br BRA,DF,Fortaleza,24,2000,4,219,55,6.4,2.4,2,90,2,2,20,5,0.00,1,9,-8,-3.29,-3.09,Matches,b9829bf7
896,Wéverton,br BRA,GK,Palmeiras,37,1987,26,2340,90,68.4,26.0,26,90,26,0,,0,2.26,51,23,+28,+1.08,+0.66,Matches,81be82e9
897,William,br BRA,DF,Cruzeiro,29,1995,30,2281,76,66.7,25.3,25,86,21,5,27,2,2.03,35,20,+15,+0.59,-0.12,Matches,d4d0a9ad
898,Willian,br BRA,MF,Vitória,31,1993,20,1411,71,41.3,15.7,16,82,9,4,27,6,1.10,7,14,-7,-0.45,0.00,Matches,96f82d0a
899,Willian,br BRA,MF,Grêmio,36,1988,6,308,51,9.0,3.4,4,55,0,2,45,0,2.17,7,6,+1,+0.29,+0.41,Matches,8b9ebd03
900,Estêvão Willian,br BRA,MFFW,Palmeiras,17,2007,11,831,76,24.3,9.2,9,82,3,2,45,0,2.00,10,7,+3,+0.32,-0.72,Matches,2eda11b1
901,Bruno Xavier,br BRA,MF,Vitória,28,1996,0,,,,,0,,0,0,,1,,,,,,,Matches,827d6315
902,Mateus Xavier,br BRA,MF,Santos,17,2007,3,39,13,1.1,0.4,0,,0,3,13,2,0.00,1,1,0,0.00,+0.13,Matches,55cc2965
903,Samuel Xavier,br BRA,DF,Fluminense,34,1990,29,2385,82,69.7,26.5,26,88,19,3,36,4,1.93,37,24,+13,+0.49,+0.66,Matches,0c870df5
904,Yago,br BRA,FW,Internacional,17,2007,2,73,37,2.1,0.8,0,,0,2,37,4,0.50,0,1,-1,-1.23,-0.91,Matches,2406d8a9
905,Yago,br BRA,MF,Mirassol,29,1995,19,630,33,18.4,7.0,8,58,0,11,15,14,1.74,9,8,+1,+0.14,-0.60,Matches,e2add0e7
906,Young,br BRA,GK,São Paulo,22,2002,3,270,90,7.9,3.0,3,90,3,0,,19,0.33,2,9,-7,-2.33,-2.42,Matches,be817fc6
907,Vinícius Zanocelo,br BRA,MF,Ceará,24,2001,15,1087,72,31.8,12.1,12,85,7,3,24,2,0.87,7,15,-8,-0.66,-0.74,Matches,27457e83
908,Cauã Zappelini,br BRA,MF,Botafogo–RJ,17,2007,0,,,,,0,,0,0,,9,,,,,,,Matches,ff7f7d73
909,Lukas Zuccarello,br BRA,MF,Vasco da Gama,18,2006,2,24,12,0.7,0.3,0,,0,2,12,0,0.50,0,1,-1,-3.75,-3.64,Matches,ad792e99
