,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
630,Paulinho,br BRA,MF,Palmeiras,24,2000,7,224,32,6.5,2.5,1,64,0,6,27,0,1.71,1,3,-2,-0.80,-1.79,Matches,53070b63
631,Paulinho,br BRA,DF,Vasco da Gama,19,2005,0,,,,,0,,0,0,,9,,,,,,,Matches,0636d932
632,Paulinho,br BRA,MF,Vasco da Gama,28,1997,11,310,28,9.1,3.4,4,62,1,7,9,23,1.00,2,9,-7,-2.03,-2.09,Matches,2d215840
633,Caio Paulista,br BRA,MFDF,Atlético Mineiro,26,1998,20,885,44,25.9,9.8,10,67,2,10,22,18,1.35,6,10,-4,-0.41,-0.51,Matches,701bb051
634,João Paulo,br BRA,GK,Bahia,29,1995,0,,,,,0,,0,0,,8,,,,,,,Matches,d0102ca0
635,João Paulo,br BRA,GK,Santos,29,1995,0,,,0.0,0.0,0,,0,0,,15,0.00,0,2,-2,,,Matches,d0102ca0
636,Marcos Paulo,br BRA,DF,Juventude,22,2003,19,1367,72,40.0,15.2,16,78,9,3,37,6,0.79,13,28,-15,-0.99,-0.15,Matches,4dd6bb79
637,Cristian Pavón,ar ARG,MF,Grêmio,29,1996,28,1373,49,40.1,15.3,14,64,0,14,34,1,1.25,17,21,-4,-0.26,-0.31,Matches,a664b026
638,Dimitri Payet,fr FRA,MF,Vasco da Gama,37,1987,4,191,48,5.6,2.1,2,73,1,2,23,0,1.50,2,4,-2,-0.94,-0.86,Matches,58ae47b2
639,Pedrinho,br BRA,MF,São Paulo,17,2007,2,26,13,0.8,0.3,0,,0,2,13,5,1.50,0,0,0,0.00,+0.11,Matches,10eb3647
640,Pedro,br BRA,FW,Flamengo,27,1997,21,1047,50,30.6,11.6,13,68,1,8,20,2,2.24,32,3,+29,+2.49,+1.66,Matches,1ab6fad3
641,João Pedro Chermont,br BRA,DF,Santos,19,2006,5,249,50,7.3,2.8,2,90,2,3,23,11,1.17,6,6,0,0.00,+0.14,Matches,e987e031
642,João Pedro,br BRA,DF,Corinthians,21,2003,16,1242,78,36.3,13.8,13,89,12,3,28,19,1.50,18,14,+4,+0.29,+0.66,Matches,cd51f56f
643,João Pedro,br BRA,DF,Grêmio,28,1996,7,454,65,13.3,5.0,6,71,3,1,28,4,0.57,3,10,-7,-1.39,-1.51,Matches,31d1ed52
644,João Pedro Pepê,br BRA,MF,Vitória,27,1998,14,654,47,19.1,7.3,6,81,4,8,21,13,1.00,5,18,-13,-1.79,-1.66,Matches,d75471eb
645,Peixoto,br BRA,MFDF,Juventude,27,1997,13,733,56,21.4,8.1,8,84,3,5,13,13,0.85,7,12,-5,-0.61,+0.36,Matches,9d060c89
646,Andreas Pereira,br BRA,MF,Palmeiras,29,1996,15,1005,67,29.4,11.2,11,84,4,4,21,0,1.93,23,11,+12,+1.07,+0.29,Matches,6639e500
647,Léo Pereira,br BRA,DF,Flamengo,29,1996,34,2953,87,86.3,32.8,33,88,30,1,45,2,2.18,67,21,+46,+1.40,+0.44,Matches,bd247251
648,Matheus Pereira,br BRA,MF,Cruzeiro,28,1996,34,2793,82,81.7,31.0,32,86,11,2,23,0,1.94,43,20,+23,+0.74,+0.60,Matches,b04ee927
649,Luan Peres Petroni,br BRA,DF,Santos,30,1994,24,2051,85,60.0,22.8,23,89,22,1,10,9,1.25,23,32,-9,-0.39,-0.66,Matches,a5549ec1
650,Pernambuco,br BRA,MF,Juventude,26,1998,3,57,19,1.7,0.6,0,,0,3,19,1,1.33,0,4,-4,-6.32,-5.51,Matches,ec61b68f
651,Petterson,br BRA,MF,Juventude,21,2004,2,80,40,2.3,0.9,1,57,0,1,23,2,1.50,0,1,-1,-1.13,-0.24,Matches,9943597e
652,Zé Phelipe,br BRA,MF,Atlético Mineiro,19,2005,0,,,,,0,,0,0,,3,,,,,,,Matches,a42637d3
653,Pierre,br BRA,MF,Fortaleza,22,2002,13,839,65,24.5,9.3,10,79,1,3,16,6,1.69,16,10,+6,+0.64,+1.38,Matches,064cd740
654,Yago Pikachu,br BRA,MFFW,Fortaleza,32,1992,31,1389,45,40.6,15.4,14,77,5,17,19,7,1.19,14,21,-7,-0.45,-0.10,Matches,462f1e13
655,Rafael Pinna,br BRA,FW,Juventude,17,2007,0,,,,,0,,0,0,,2,,,,,,,Matches,bebbf2a9
656,Joaquín Piquerez,uy URU,DFMF,Palmeiras,26,1998,30,2456,82,71.8,27.3,28,85,23,2,36,4,2.07,47,23,+24,+0.88,+0.04,Matches,46009f44
657,Rafael Pires,br BRA,GK,São Paulo,35,1989,35,3150,90,92.1,35.0,35,90,35,0,,1,1.43,41,38,+3,+0.09,+2.42,Matches,539f6761
658,Marcelo Pitaluga,br BRA,GK,Fluminense,22,2002,0,,,0.0,0.0,0,,0,0,,11,0.00,2,4,-2,,,Matches,b3cafda8
659,Lucas Piton,br BRA,DF,Vasco da Gama,24,2000,30,2545,85,74.4,28.3,29,86,23,1,45,0,1.20,44,37,+7,+0.25,+1.48,Matches,defce7f1
660,Isidro Pitta,py PAR,FW,RB Bragantino,25,1999,24,1093,46,32.0,12.1,10,83,6,14,19,2,1.42,17,22,-5,-0.41,-0.14,Matches,e9fc7295
661,Diego Pituca,br BRA,MF,Santos,32,1992,10,392,39,11.5,4.4,4,68,0,6,20,5,1.00,4,5,-1,-0.23,-0.11,Matches,6f5249ed
662,Gonzalo Plata,ec ECU,MFFW,Flamengo,24,2000,28,1350,48,39.5,15.0,14,71,4,14,26,0,2.00,27,9,+18,+1.20,-0.23,Matches,54bcdeb0
663,Tomas Pochettino,ar ARG,MFFW,Fortaleza,28,1996,26,1537,59,44.9,17.1,18,73,4,8,27,2,1.31,23,25,-2,-0.12,+0.50,Matches,fb36aa6b
664,Mateo Ponte,uy URU,DF,Botafogo–RJ,21,2003,21,676,32,19.8,7.5,4,84,2,17,20,16,1.52,12,10,+2,+0.27,-0.32,Matches,981e61c1
665,Gustavo Prado,br BRA,MF,Internacional,19,2005,18,559,31,16.3,6.2,3,67,1,15,24,12,1.00,4,13,-9,-1.45,-1.32,Matches,511bad81
666,Kauã Prates,br BRA,DF,Cruzeiro,16,2008,8,341,43,10.0,3.8,4,76,2,4,9,24,2.13,6,4,+2,+0.53,-0.12,Matches,6ecfd382
667,Bruno Praxedes,br BRA,MF,RB Bragantino,22,2002,15,400,27,11.7,4.4,3,66,0,12,17,9,0.80,5,15,-10,-2.25,-2.19,Matches,5dd520a8
668,Felipe Preis,br BRA,GK,São Paulo,19,2005,0,,,,,0,,0,0,,7,,,,,,,Matches,3a0d7429
669,Lucca Prior,br BRA,MFFW,Fortaleza,20,2004,12,656,55,19.2,7.3,7,72,2,5,30,10,0.58,7,15,-8,-1.10,-0.87,Matches,dbeca92a
670,Erick Pulga,br BRA,FWMF,Bahia,24,2000,24,1687,70,49.3,18.7,20,77,6,4,39,1,1.63,22,23,-1,-0.05,-0.31,Matches,56088230
671,Erick Pulgar,cl CHI,MF,Flamengo,31,1994,17,1240,73,36.3,13.8,15,78,8,2,32,1,2.18,32,11,+21,+1.52,+0.29,Matches,4611e028
