,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
740,Walter,br BRA,GK,Mirassol,37,1987,31.0,0,0,0,,0.00,0.00,,,0,0,Matches,8bae322b
741,Wanderson,br BRA,MF,Cruzeiro,30,1994,19.9,0,33,11,33.3,1.66,0.55,0.00,0.00,0,0,Matches,5da33b33
742,Deivid Washington,br BRA,FW,Santos,19,2005,6.2,1,16,4,25.0,2.59,0.65,0.06,0.25,0,0,Matches,95bd120d
743,José Welison,br BRA,MF,Fortaleza,29,1995,4.9,0,5,0,0.0,1.03,0.00,0.00,,0,0,Matches,b6cb4d16
744,João Wellington,br BRA,MF,Cruzeiro,21,2004,1.5,0,2,1,50.0,1.29,0.65,0.00,0.00,0,0,Matches,62e02b9b
745,Wendell,br BRA,MF,Vitória,19,2005,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,ad5524cf
746,Wendell,br BRA,MFDF,São Paulo,31,1993,9.3,0,7,0,0.0,0.75,0.00,0.00,,0,0,Matches,f9acca3a
747,Wesley,br BRA,DF,Flamengo,21,2003,10.9,1,9,2,22.2,0.82,0.18,0.11,0.50,0,0,Matches,f2c49c79
748,Wesley,br BRA,MFFW,Internacional,25,1999,13.7,0,28,9,32.1,2.04,0.66,0.00,0.00,0,0,Matches,434de3a3
749,Weverson,br BRA,DF,Fortaleza,24,2000,2.4,0,2,0,0.0,0.82,0.00,0.00,,0,0,Matches,b9829bf7
750,Wéverton,br BRA,GK,Palmeiras,37,1987,26.0,0,0,0,,0.00,0.00,,,0,0,Matches,81be82e9
751,William,br BRA,DF,Cruzeiro,29,1995,25.3,0,20,4,20.0,0.79,0.16,0.00,0.00,0,0,Matches,d4d0a9ad
752,Willian,br BRA,MF,Vitória,31,1993,15.7,1,18,4,22.2,1.15,0.26,0.06,0.25,0,0,Matches,96f82d0a
753,Willian,br BRA,MF,Grêmio,36,1988,3.4,1,3,1,33.3,0.88,0.29,0.33,1.00,1,1,Matches,8b9ebd03
754,Estêvão Willian,br BRA,MFFW,Palmeiras,17,2007,9.2,0,19,2,10.5,2.06,0.22,0.00,0.00,0,0,Matches,2eda11b1
755,Mateus Xavier,br BRA,MF,Santos,17,2007,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,55cc2965
756,Samuel Xavier,br BRA,DF,Fluminense,34,1990,26.5,4,20,6,30.0,0.75,0.23,0.20,0.67,0,0,Matches,0c870df5
757,Yago,br BRA,FW,Internacional,17,2007,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,2406d8a9
758,Yago,br BRA,MF,Mirassol,29,1995,7.0,0,9,1,11.1,1.29,0.14,0.00,0.00,0,0,Matches,e2add0e7
759,Young,br BRA,GK,São Paulo,22,2002,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,be817fc6
760,Vinícius Zanocelo,br BRA,MF,Ceará,24,2001,12.1,1,17,4,23.5,1.41,0.33,0.06,0.25,0,0,Matches,27457e83
761,Lukas Zuccarello,br BRA,MF,Vasco da Gama,18,2006,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,ad792e99
