,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
454,Thiago Mendes,br BRA,MF,Vasco da Gama,32,1992,3.3,0,0,0,,0.00,0.00,,,0,0,Matches,c6e5d20f
455,Vinicius Mendonça,br BRA,MF,RB Bragantino,20,2004,11.5,0,20,7,35.0,1.73,0.61,0.00,0.00,0,0,Matches,47a333ad
456,Jean Meneses,cl CHI,FWMF,Vasco da Gama,31,1993,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,dc7acc74
457,Ramon Menezes Roma,br BRA,DF,Sport Recife,29,1995,20.8,1,15,4,26.7,0.72,0.19,0.07,0.25,0,0,Matches,eab48ffb
458,Gabriel Menino,br BRA,MFDF,Atlético Mineiro,24,2000,9.9,1,13,4,30.8,1.32,0.40,0.08,0.25,0,0,Matches,01819e70
459,Gabriel Mercado,ar ARG,DF,Internacional,37,1987,13.3,1,8,3,37.5,0.60,0.23,0.13,0.33,0,0,Matches,bf97c188
460,Micael,br BRA,DF,Palmeiras,24,2000,14.4,0,7,1,14.3,0.49,0.07,0.00,0.00,0,0,Matches,ea95d7a6
461,Michael,br BRA,MF,Flamengo,28,1996,6.9,1,14,7,50.0,2.03,1.01,0.07,0.14,0,0,Matches,f523d00b
462,Carlos Miguel,br BRA,GK,Palmeiras,26,1998,9.0,0,0,0,,0.00,0.00,,,0,0,Matches,84454067
463,Fernando Miguel,br BRA,GK,Ceará,39,1985,7.3,0,0,0,,0.00,0.00,,,0,0,Matches,f1f06658
464,Moises,br BRA,MFFW,Fortaleza,28,1996,4.3,0,14,4,28.6,3.27,0.94,0.00,0.00,0,0,Matches,ddd07a25
465,Miguel Monsalve,co COL,MFFW,Grêmio,20,2004,3.3,0,4,1,25.0,1.21,0.30,0.00,0.00,0,0,Matches,a2f7f47c
466,Álvaro Montoro,ar ARG,MF,Botafogo–RJ,17,2007,10.4,3,16,7,43.8,1.54,0.67,0.19,0.43,0,0,Matches,4c55ed86
467,Kauã Moraes,br BRA,DF,Cruzeiro,18,2006,2.2,0,0,0,,0.00,0.00,,,0,0,Matches,936f721d
468,Aníbal Moreno,ar ARG,MF,Palmeiras,25,1999,20.1,0,18,6,33.3,0.90,0.30,0.00,0.00,0,0,Matches,0c0f1cd3
469,Santiago Moreno,co COL,MF,Fluminense,24,2000,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,3261d0e4
470,Henry Mosquera,co COL,MF,RB Bragantino,23,2001,8.6,0,17,8,47.1,1.98,0.93,0.00,0.00,0,0,Matches,be206004
471,Hugo Moura,br BRA,MFDF,Vasco da Gama,27,1998,26.8,0,13,5,38.5,0.49,0.19,0.00,0.00,0,0,Matches,14100165
472,Lucas Moura,br BRA,FWMF,São Paulo,32,1992,5.0,2,11,4,36.4,2.20,0.80,0.18,0.50,1,1,Matches,2b622f01
473,Neto Moura,br BRA,MF,Mirassol,28,1996,27.0,1,13,1,7.7,0.48,0.04,0.08,1.00,0,0,Matches,28fd3b9e
474,Lucas Mugni,ar ARG,MF,Ceará,33,1992,19.0,2,18,3,16.7,0.95,0.16,0.11,0.67,0,0,Matches,f87818d3
475,Alex Muralha,br BRA,GK,Mirassol,35,1989,7.0,0,0,0,,0.00,0.00,,,0,0,Matches,38082f12
476,Bruno Nascimento,br BRA,FW,Palmeiras,27,1997,3.8,2,6,4,66.7,1.58,1.06,0.33,0.50,0,0,Matches,46411d56
477,Nata,br BRA,DF,Juventude,23,2001,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,b9ae93ab
478,Natanael,br BRA,DFMF,Atlético Mineiro,23,2002,23.8,1,19,6,31.6,0.80,0.25,0.05,0.17,0,0,Matches,0b618504
479,Nathan,br BRA,DF,Internacional,23,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0,Matches,9fb6420e
480,Nathan,br BRA,MF,Grêmio,28,1996,1.0,0,3,2,66.7,3.00,2.00,0.00,0.00,0,0,Matches,fa00f0c9
481,Kaiky Naves,br BRA,DF,Palmeiras,22,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,621576f9
482,Gui Negão,br BRA,FWMF,Corinthians,17,2007,10.5,3,13,5,38.5,1.24,0.48,0.23,0.60,0,0,Matches,8d835047
483,Felipe Negrucci,br BRA,DF,São Paulo,20,2004,2.5,0,1,0,0.0,0.40,0.00,0.00,,0,0,Matches,784f2ef7
484,Negueba,br BRA,FWMF,Mirassol,25,1999,24.0,7,53,20,37.7,2.21,0.83,0.13,0.35,0,0,Matches,47c2829f
485,Edison Negueba,br BRA,FW,Juventude,24,2000,1.2,1,5,3,60.0,4.21,2.52,0.20,0.33,0,0,Matches,ab23371b
486,Nenê,br BRA,FWMF,Juventude,43,1981,11.2,3,24,12,50.0,2.14,1.07,0.13,0.25,2,2,Matches,265ebd37
487,Neris,br BRA,DF,Vitória,32,1992,5.9,0,5,2,40.0,0.84,0.34,0.00,0.00,0,0,Matches,f961d4c2
488,Rodrigo Nestor,br BRA,MFFW,Bahia,24,2000,9.7,5,21,12,57.1,2.16,1.23,0.24,0.42,0,0,Matches,c04ebe99
489,Neto,br BRA,GK,Botafogo–RJ,35,1989,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,a9dc785c
490,Newton,br BRA,MF,Botafogo–RJ,24,2000,16.6,1,18,5,27.8,1.08,0.30,0.06,0.20,0,0,Matches,0c0c8329
491,Neymar,br BRA,FWMF,Santos,32,1992,17.0,8,56,25,44.6,3.30,1.47,0.14,0.32,2,2,Matches,69384e5d
492,Nicolas,br BRA,DF,Ceará,27,1997,6.6,0,4,1,25.0,0.61,0.15,0.00,0.00,0,0,Matches,0739a5da
493,Nicolas,br BRA,DF,São Paulo,17,2007,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,Matches,3988393d
494,Saúl Ñíguez,es ESP,MF,Flamengo,30,1994,12.8,0,22,4,18.2,1.71,0.31,0.00,0.00,0,0,Matches,c14bc029
495,Nonato,br BRA,MF,Fluminense,26,1998,10.2,2,12,4,33.3,1.18,0.39,0.17,0.50,0,0,Matches,b91a6912
496,Erick Noriega,pe PER,DFMF,Grêmio,23,2001,13.2,0,7,0,0.0,0.53,0.00,0.00,,0,0,Matches,fd8ce644
497,Lucas Oliveira,br BRA,DF,Vasco da Gama,28,1996,2.9,0,0,0,,0.00,0.00,,,0,0,Matches,96d8b3d1
498,Sérgio Oliveira,pt POR,MF,Sport Recife,32,1992,11.1,1,25,6,24.0,2.26,0.54,0.04,0.17,0,0,Matches,947e036f
499,Cauly Oliveira Souza,br BRA,FWMF,Bahia,29,1995,10.1,1,19,5,26.3,1.88,0.49,0.05,0.20,0,0,Matches,2b53f7a5
500,Cristian Olivera,uy URU,MFFW,Grêmio,22,2002,14.3,2,27,10,37.0,1.89,0.70,0.07,0.20,0,0,Matches,079dc403
501,Christian Ortiz,ar ARG,FWMF,Sport Recife,32,1992,2.0,0,7,3,42.9,3.54,1.52,0.00,0.00,0,0,Matches,bd8ddbd6
502,Leo Ortiz,br BRA,DF,Flamengo,29,1996,24.5,1,18,6,33.3,0.74,0.25,0.06,0.17,0,0,Matches,53834fa2
503,Oscar,br BRA,MFFW,São Paulo,33,1991,3.8,0,4,2,50.0,1.04,0.52,0.00,0.00,0,0,Matches,57fe98dd
504,Osvaldo,br BRA,MF,Vitória,37,1987,11.1,0,20,6,30.0,1.81,0.54,0.00,0.00,0,0,Matches,deb6b945
505,Otávio,br BRA,MF,Fluminense,30,1994,2.4,0,1,0,0.0,0.41,0.00,0.00,,0,0,Matches,243f4a0b
506,Luis Otávio,br BRA,MF,Internacional,17,2007,8.6,0,4,2,50.0,0.47,0.23,0.00,0.00,0,0,Matches,1ffa6688
507,Luiz Otávio,br BRA,DF,Mirassol,32,1992,1.8,0,2,0,0.0,1.09,0.00,0.00,,0,0,Matches,35e4fc3a
508,João Othavio Basso,br BRA,DF,Santos,28,1997,5.8,1,1,1,100.0,0.17,0.17,1.00,1.00,0,0,Matches,86c79c42
509,Pablo,br BRA,DF,Internacional,18,2006,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,3933b8fc
510,Pablo,br BRA,FW,Sport Recife,32,1992,11.7,3,24,5,20.8,2.05,0.43,0.13,0.60,0,0,Matches,1ad394c5
511,Ruan Pablo,br BRA,FW,Bahia,16,2008,0.6,0,2,1,50.0,3.53,1.76,0.00,0.00,0,0,Matches,a3bbbdc7
512,Bruno Pacheco,br BRA,DF,Fortaleza,33,1991,14.0,1,3,2,66.7,0.21,0.14,0.33,0.50,0,0,Matches,9b7976e6
513,Luis Pacheco,br BRA,MF,Palmeiras,16,2008,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,ffba37be
514,Gonçalo Paciência,pt POR,FW,Sport Recife,30,1994,2.2,0,10,2,20.0,4.59,0.92,0.00,0.00,0,0,Matches,962e54cb
515,Brahian Palacios,co COL,MF,Atlético Mineiro,22,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,61a05353
516,Sergio Palacios,co COL,DF,RB Bragantino,19,2005,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,e47c977a
517,Kaio Pantaleão,br BRA,DF,Botafogo–RJ,29,1995,10.4,0,8,2,25.0,0.77,0.19,0.00,0.00,0,0,Matches,a9be27f2
518,Rayan Passaglia Lelis,br BRA,MF,Cruzeiro,18,2007,0.7,0,2,0,0.0,2.81,0.00,0.00,,0,0,Matches,199a71d2
519,Alan Patrick,br BRA,MFFW,Internacional,33,1991,27.8,11,51,19,37.3,1.83,0.68,0.22,0.58,6,7,Matches,00672021
520,Patryck,br BRA,MFDF,São Paulo,22,2003,3.4,0,6,1,16.7,1.75,0.29,0.00,0.00,0,0,Matches,8dcbd7af
521,Patrick de Paula,br BRA,MF,Botafogo–RJ,25,1999,3.2,0,6,0,0.0,1.90,0.00,0.00,,0,0,Matches,9f12fbb7
522,Paulinho,br BRA,MF,Palmeiras,24,2000,2.5,0,5,1,20.0,2.01,0.40,0.00,0.00,0,0,Matches,53070b63
523,Paulinho,br BRA,MF,Vasco da Gama,28,1997,3.4,0,0,0,,0.00,0.00,,,0,0,Matches,2d215840
524,Caio Paulista,br BRA,MFDF,Atlético Mineiro,26,1998,9.8,0,17,2,11.8,1.73,0.20,0.00,0.00,0,0,Matches,701bb051
525,Marcos Paulo,br BRA,DF,Juventude,22,2003,15.2,0,6,2,33.3,0.40,0.13,0.00,0.00,0,0,Matches,4dd6bb79
526,Cristian Pavón,ar ARG,MF,Grêmio,29,1996,15.3,0,30,8,26.7,1.97,0.52,0.00,0.00,0,0,Matches,a664b026
527,Dimitri Payet,fr FRA,MF,Vasco da Gama,37,1987,2.1,0,2,0,0.0,0.94,0.00,0.00,,0,0,Matches,58ae47b2
528,Pedrinho,br BRA,MF,São Paulo,17,2007,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,10eb3647
529,Pedro,br BRA,FW,Flamengo,27,1997,11.6,12,43,26,60.5,3.70,2.23,0.28,0.46,1,2,Matches,1ab6fad3
530,João Pedro Chermont,br BRA,DF,Santos,19,2006,2.8,0,2,1,50.0,0.72,0.36,0.00,0.00,0,0,Matches,e987e031
531,João Pedro,br BRA,DF,Corinthians,21,2003,13.8,0,10,3,30.0,0.72,0.22,0.00,0.00,0,0,Matches,cd51f56f
532,João Pedro,br BRA,DF,Grêmio,28,1996,5.0,0,3,3,100.0,0.59,0.59,0.00,0.00,0,0,Matches,31d1ed52
533,João Pedro Pepê,br BRA,MF,Vitória,27,1998,7.3,0,3,1,33.3,0.41,0.14,0.00,0.00,0,0,Matches,d75471eb
534,Peixoto,br BRA,MFDF,Juventude,27,1997,8.1,1,12,3,25.0,1.47,0.37,0.08,0.33,0,0,Matches,9d060c89
535,Andreas Pereira,br BRA,MF,Palmeiras,29,1996,11.2,2,18,7,38.9,1.61,0.63,0.11,0.29,0,0,Matches,6639e500
536,Léo Pereira,br BRA,DF,Flamengo,29,1996,32.8,4,20,7,35.0,0.61,0.21,0.20,0.57,0,0,Matches,bd247251
537,Matheus Pereira,br BRA,MF,Cruzeiro,28,1996,31.0,7,68,29,42.6,2.19,0.93,0.10,0.24,0,0,Matches,b04ee927
